,alpha,beta,count_entropy,crossing_points,entropy,flat_spots,frequency,intervals_mean,lumpiness,arch_lm,sparsity,stability,nperiods,seasonal_period,trend,spike,linearity,curvature
danish_atm_daily_29,0.1588211380692728,0.0071365278006398,-118633.69376905488,116.0,0.8526785767715575,7.0,1.0,58.2,0.0056030935149709,0.5405318250024225,0.0459016393442622,0.020471264367816,0.0,1.0,0.4710033561337202,1.031168336161791e-07,-0.2510893623544631,0.4330888272930619
danish_atm_daily_3,0.1484218529642136,8.275885168074011e-08,-130890.59391675868,113.0,0.8416211288049943,5.0,1.0,42.142857142857146,0.003647509578544,0.1741501340683698,0.0327868852459016,0.004367816091954,0.0,1.0,0.0247604599968859,2.736216487987646e-07,0.3570902521987604,-0.2060230636918559
danish_atm_daily_30,0.2599827831156976,0.0023876293716441,-106772.66808953618,101.0,0.7964302192792863,8.0,1.0,305.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6653345369377348e-15,1.0824674490095276e-15
danish_atm_daily_31,0.4017402600507043,0.0,-81661.16642313627,101.0,0.8237253011980642,6.0,1.0,150.0,0.0026424010217113,0.7437957513237557,0.0163934426229508,0.0055747126436781,0.0,1.0,0.3665626481040147,4.40710576737572e-08,0.4256414270988791,-0.3898011418451697
danish_atm_daily_32,0.5969891447344883,8.594038463355331e-09,-66401.9866541531,125.0,0.8437831269274885,9.0,1.0,36.5,0.0059885057471264,0.2460709436667264,0.0426229508196721,0.0128850574712643,0.0,1.0,0.0459804503806136,3.227241125936165e-07,-0.0884890586526152,0.235081797038052
danish_atm_daily_33,0.2848482425271265,0.0001728663302636,-152497.11321063523,107.0,0.823831233429077,10.0,1.0,48.5,0.003420462608202,0.1460440825248219,0.0459016393442622,0.0239540229885057,0.0,1.0,0.3887826834461512,1.995598616397477e-07,0.5949299728325061,-0.9832489064689218
danish_atm_daily_34,0.0522324976195234,0.0348233159583952,-156867.232698361,101.0,0.7572779021077847,5.0,1.0,26.454545454545453,0.0046040868454661,0.0787334962870862,0.0459016393442622,0.0066781609195402,0.0,1.0,0.0275810195130953,3.598332073865317e-07,0.0443416389860585,0.3874025096393039
danish_atm_daily_35,0.1462898601403941,0.0456701319520961,-139517.49836892748,121.0,0.8023863192705469,6.0,1.0,100.66666666666669,0.0013459628210586,0.4512243322077125,0.0098360655737704,0.0016206896551724,0.0,1.0,0.0175925056055339,9.61291614558346e-08,0.1259075078802094,-0.0346051465284052
danish_atm_daily_36,0.0004582605278002,6.236908858560635e-13,-82127.62855578952,117.0,0.8259962505330762,6.0,1.0,305.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6653345369377348e-15,1.0824674490095276e-15
danish_atm_daily_37,0.1573122237817442,0.0,-76237.51787313397,105.0,0.791242566858923,7.0,1.0,75.25,0.0016154391939832,0.15009262356125,0.0131147540983606,0.0018850574712643,0.0,1.0,0.0200262578641695,1.2568435725549928e-07,0.0064221496957789,-0.0513256366577259
danish_atm_daily_38,0.1725943283346566,0.0274938673859211,-254988.37856181132,113.0,0.8004750421866972,6.0,1.0,74.75,0.0030117780615864,0.403663414987179,0.0196721311475409,0.0044137931034482,0.0,1.0,0.1185421102984964,1.3697176535830517e-07,-0.0395856119442551,-0.3190532055527621
danish_atm_daily_39,0.0991891273935802,0.0455845377339748,-176332.9670960739,99.0,0.7654675341991835,5.0,1.0,101.0,0.0006436781609195,0.0006131912773544,0.0065573770491803,0.0006436781609195,0.0,1.0,0.0098725573553767,6.717018193041178e-08,-0.0032622787885331,0.088010236161472
danish_atm_daily_4,0.0807463265537642,0.0,-66055.8541456353,111.0,0.7917767394544831,7.0,1.0,100.66666666666669,0.0013459628210586,0.0001778060249763,0.0098360655737704,0.0016206896551724,0.0,1.0,0.0565264803810114,8.331703716347568e-08,0.1010073442568199,-0.2865696397089273
danish_atm_daily_40,0.2097950885985851,0.0090612394308655,-184429.1908271425,85.0,0.6331435119941521,8.0,1.0,59.2,0.004471264367816,0.399735777738075,0.0295081967213114,0.0063103448275862,0.0,1.0,0.1134038814778258,1.994614579935818e-07,0.3727126162289553,-0.1284193242555469
danish_atm_daily_41,0.0256129187738289,0.0256080603204302,-55090.04196779465,119.0,0.8208159946962506,6.0,1.0,152.0,0.0003333333333333,7.159562789349483e-05,0.0032786885245901,0.0003333333333333,0.0,1.0,0.0393725659821698,3.0594176928321216e-08,-0.0953490671762672,-0.0990263733862765
danish_atm_daily_42,0.0754572660075663,0.0410749821293163,-140512.597849395,109.0,0.7601674015436901,4.0,1.0,305.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.6653345369377348e-15,1.0824674490095276e-15
