naming_orig,RMSE,RMSSE,SMAPE,CM,RMSE_model,RMSSE_model,SMAPE_model,CM_model
danish_atm_daily_84,19.89250669246502,0.5361692770314631,9.935278445482254,0.8142746963442618,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,TFTTuningObjective_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl
danish_atm_daily_25,15.136953627209955,0.3584266708693296,9.499645233154297,0.7781428540784417,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_6,10.614929812500712,0.3061405968780993,6.263278424739838,0.7656467841153177,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_10,15.445234947801003,0.2725092106682177,7.352140545845032,0.7580610063984026,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_87,56.7797773440014,0.7336951119388111,17.160792648792267,0.8073177995516183,ARIMAEtna,ARIMAEtna,ARIMAEtna,BaselineMean
danish_atm_daily_16,16.5160915630054,0.4789762140011034,11.55346781015396,0.8033565435471983,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_73,11.213326250845917,0.7130075060194051,9.556978195905684,0.8170276688713656,LightAutoML_mult_gl,LightAutoML_mult_gl,LightAutoML_mult_gl,BaselineMean
danish_atm_daily_43,4.15287379760192,0.5378763616450953,9.487377107143402,0.80631165963445,LightAutoML_mult_gl,LightAutoML_mult_gl,LightAutoML_mult_gl,BaselineMean
danish_atm_daily_83,6.601253922151955,0.5539200155790769,13.225100934505464,0.8171260148433889,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_18,25.467440294162245,0.582300583486983,9.182485193014143,0.8226302924251235,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_80,37.34961218370865,0.416378788962897,16.703036427497864,0.7662064693864004,LightAutoML,LightAutoML,LightAutoML,OLS
danish_atm_daily_28,8.140879914434926,0.3365499014868719,5.506676062941551,0.7718789838103902,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_71,10.818313358868105,0.3076388112892305,10.453655570745468,0.7540689963819628,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,ARIMAEtna
danish_atm_daily_64,14.383144028804006,0.3989449060874421,6.640520691871643,0.7865604496499319,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl
danish_atm_daily_48,13.900559536217306,0.5485522926825698,11.738765239715576,0.7987946589677289,NeuralProphet,NeuralProphet,CatBoostDirectPipelineEtna_horizonlags_gl,Prophet
danish_atm_daily_15,26.80308328229236,0.413081336292468,6.54778778553009,0.789510555338255,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl
