,naming_orig,RMSE,RMSSE,SMAPE,CM,RMSE-model,RMSSE-model,SMAPE-model,CM-model
90,danish_atm_daily_81,6.759879617465606,0.6610233875784697,34.41275954246521,0.5991846346121724,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
91,danish_atm_daily_82,5.1809424811790885,0.3026314202978342,7.847519963979721,0.5132822292839014,Prophet,Prophet,Prophet,BaselineMean
92,danish_atm_daily_83,6.601253922151955,0.5539200155790769,13.225100934505464,0.5635001896816925,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
93,danish_atm_daily_84,19.89250669246502,0.5361692770314631,9.935278445482254,0.5466596717744312,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,TFTTuningObjective_gl,BaselineMean
94,danish_atm_daily_85,10.17803890202397,0.6726997106241808,20.780521631240845,0.5366155845874037,LightAutoML_mult_gl,LightAutoML_mult_gl,LightAutoML_mult_gl,BaselineMean
95,danish_atm_daily_86,72.83752252445164,1.9685722110554893,13.067840039730072,0.669650543416386,ARIMAEtna,ARIMAEtna,ARIMAEtna,BaselineMean
96,danish_atm_daily_87,56.7797773440014,0.7336951119388111,17.160792648792267,0.5374951219345594,ARIMAEtna,ARIMAEtna,ARIMAEtna,BaselineMean
97,danish_atm_daily_88,31.07717149901044,0.6452376552903295,36.78571581840515,0.5469397091573285,Prophet,Prophet,ARIMAEtna,BaselineMean
98,danish_atm_daily_89,5.814922197236358,0.3624401663363557,36.89498007297516,0.5129503570272977,LightAutoML,LightAutoML,LightAutoML,BaselineMean
99,danish_atm_daily_9,42.99141731660664,0.5563043018208556,12.429583072662354,0.5759218770688821,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,OLS
100,danish_atm_daily_90,19.4382143533323,0.8130599249003578,15.312951803207396,0.5787385414214177,Prophet,Prophet,CatBoostAutoRegressivePipelineEtna_30lags_gl,OLS
101,danish_atm_daily_91,12.206863123842208,0.4284400252887686,32.439324259758,0.5410342975409581,CatBoostDirectPipelineEtna_horizonlags,CatBoostDirectPipelineEtna_horizonlags,Prophet,BaselineMean
102,danish_atm_daily_92,11.129822446601343,0.3672113208347632,32.51626789569855,0.528379228137148,Prophet,Prophet,LightAutoML_mult_gl,OLS
103,danish_atm_daily_93,8.186645463218111,0.3194471963583052,34.411486983299255,0.52000459627582,CatBoostDirectPipelineEtna_30lags,CatBoostDirectPipelineEtna_30lags,NeuralProphet,BaselineMean
104,danish_atm_daily_94,3.472133464102656,0.6039045548022932,52.58554816246033,0.5378442374532781,CatBoostDirectPipelineEtna_horizonlags,CatBoostDirectPipelineEtna_horizonlags,Prophet,BaselineMean
105,danish_atm_daily_95,8.66228751049922,0.9143225996466028,28.078529238700867,0.5587722520154295,DeepARTuningObjective_gl,DeepARTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
106,danish_atm_daily_96,4.5316488156254096,0.4552950811947822,37.58686780929565,0.5206223045369887,NeuralProphet,NeuralProphet,ARIMAEtna,BaselineMean
107,danish_atm_daily_97,3.008343221237826,0.5436305568151047,47.347491979599,0.5154215319834821,Prophet,Prophet,BaselineMean,BaselineMean
108,danish_atm_daily_98,4.074710044608308,0.5232973345520062,43.069589138031006,0.5199092608904576,Prophet,Prophet,TFTTuningObjective_gl,BaselineMean
109,danish_atm_daily_99,19.85168087085921,0.4301150469599694,35.28887629508972,0.5382260520557776,Prophet,Prophet,TFTTuningObjective_gl,BaselineMean
110,mipt_alpha_0,1500539.2339769062,0.6649055020239212,16.614626348018646,0.5702100008468116,TFTTuningObjective_gl,TFTTuningObjective_gl,TFTTuningObjective_gl,BaselineMean
111,mipt_alpha_1,1262738.5738116975,1.1939920294927029,35.79559922218323,0.6020176199159236,CatBoostAutoRegressivePipelineEtna_30lags,CatBoostAutoRegressivePipelineEtna_30lags,NeuralProphet,BaselineMean
112,mipt_alpha_10,1197585.0738415204,0.4437238152150602,15.161475539207458,0.5224463042634517,Prophet,Prophet,Prophet,BaselineMean
113,mipt_alpha_100,1178093.3088478178,0.5332385589284592,10.711249709129332,0.5351696014894225,Prophet,Prophet,Prophet,OLS
