naming_orig,alpha,beta,count_entropy,crossing_points,entropy,flat_spots,frequency,intervals_mean,lumpiness,arch_lm,sparsity,stability,nperiods,seasonal_period,trend,spike,linearity,curvature,RMSE,RMSSE,SMAPE,RMSE_model,RMSSE_model
mipt_alpha_87,0.1228571428571428,0.0163809523809523,-30337266162.64454,231.0,0.7550230231917385,9.0,1.0,220.3333333333333,0.0023041358862254,0.6732491879447182,0.014903129657228,0.0061374943464495,0.0,1.0,0.0270571780219822,2.8032091510091653e-08,0.0975535301751407,0.2364756096807817,1314052.014800023,0.874275119708933,12.611283361911774,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags
mipt_alpha_88,0.0992857142857142,0.0534615384615384,-32759208811.311047,277.0,0.789727348821428,4.0,1.0,335.0,0.0001492537313432,2.818714384389409e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0190905827000528,3.1464805201227643e-09,-0.0429959415313346,-0.0332687903745412,1685354.9192879226,0.8249196542154502,26.06440484523773,CatBoostAutoRegressivePipelineEtna_horizonlags,CatBoostAutoRegressivePipelineEtna_horizonlags
mipt_alpha_89,0.0757142857142857,0.0275324675324675,-19297116081.15112,251.0,0.7871116518147678,6.0,1.0,335.0,0.0001492537313432,2.818714384378307e-05,0.0014903129657228,0.0001492537313432,0.0,1.0,0.0025189646984982,3.2805260991613406e-09,-0.005869069441634,0.0239176132575588,1173880.4561964562,0.8163652319981888,20.047569274902344,LightAutoML_mult_gl,LightAutoML_mult_gl
mipt_alpha_9,0.3114285714285714,0.0406211180124223,-21871202118.76012,227.0,0.8334111392474771,6.0,1.0,133.0,0.0013962175653717,0.3527074694287198,0.0089418777943368,0.0020398009950248,0.0,1.0,0.077831306489667,1.5341939864000426e-08,0.2386136857631705,-0.1570965190479365,893687.1268536882,0.7503513619531971,11.035708338022232,CatBoostAutoRegressivePipelineEtna_horizonlags_gl,CatBoostAutoRegressivePipelineEtna_horizonlags_gl
mipt_alpha_90,0.1228571428571428,0.0573333333333333,-51564136154.5342,273.0,0.7802430777885078,5.0,1.0,166.25,0.0013962175653717,0.2597092390283053,0.0089418777943368,0.0020398009950248,0.0,1.0,0.0151154995486292,1.8200606605070212e-08,-0.0861051534915512,0.1054304013869642,2561831.690309104,0.6822913197160434,17.293672263622284,CatBoostDirectPipelineEtna_horizonlags,CatBoostDirectPipelineEtna_horizonlags
mipt_alpha_91,0.1228571428571428,0.0163809523809523,-61249328623.53697,233.0,0.7780983847166236,8.0,1.0,167.0,0.0004341926729986,0.0002642602670009,0.0044709388971684,0.0004341926729986,0.0,1.0,0.0036747283666526,9.67475983930567e-09,0.0159158112180033,-0.0086600817214658,2856674.3484436586,0.8692751437300611,17.99263507127762,CatBoostDirectPipelineEtna_horizonlags,CatBoostDirectPipelineEtna_horizonlags
mipt_alpha_92,0.1228571428571428,0.0491428571428571,-28472888159.75993,274.0,0.8156829186609272,5.0,1.0,166.75,0.0009291365841946,0.2248468107975179,0.0059612518628912,0.0011759384893713,0.0,1.0,0.019436900829018,1.2287903624908213e-08,-0.0886347454802818,-0.0153586632744135,1192020.0657639955,0.7104210009831925,19.72806453704834,DeepARTuningObjective_gl,DeepARTuningObjective_gl
mipt_alpha_93,0.1464285714285714,0.0183035714285714,-25749901100.49666,267.0,0.8211092939345375,7.0,1.0,223.0,0.0002939846223428,0.2485066935126262,0.0029806259314456,0.0002939846223428,0.0,1.0,0.0264663970558395,5.972927810008582e-09,-0.1147810968393562,-0.1175697116048401,1129142.7262556315,0.6888483139884083,16.474375128746033,LSTNetTuningObjective_gl,LSTNetTuningObjective_gl
mipt_alpha_94,0.0521428571428571,0.0057936507936507,-9033183950.269789,247.0,0.7437399234407361,13.0,1.0,4.989583333333333,0.0034766682859551,0.5821492725635045,0.2861400894187779,0.0234102216191768,0.0,1.0,0.046157847153228,9.10553336191778e-08,-0.809792068610649,-1.0845802593112457,999495.6367768697,0.858558622588473,41.48361384868622,CatBoostDirectPipelineEtna_horizonlags,CatBoostDirectPipelineEtna_horizonlags
mipt_alpha_95,0.1228571428571428,0.0409523809523809,-43943509858.260895,233.0,0.8189788089402307,92.0,1.0,671.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.3306690738754696e-16,3.219646771412954e-15,1149230.1064486606,0.4917038143772169,14.455437660217283,LightAutoML,LightAutoML
